symbol,date,close_to_close_return,classification
NIFTY100LOWVOL30,2018-05-24 09:15:00,-0.4085349393832145,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-25 00:00:00,0.7040821915029567,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-25 09:15:00,-0.4059128393627457,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-28 00:00:00,0.6871437301515746,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-28 09:15:00,-0.4024725519419984,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-29 00:00:00,0.6719037255661888,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-29 09:15:00,-0.40132666040584397,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-30 00:00:00,0.6716308254403207,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-30 09:15:00,-0.4020549979212449,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-31 00:00:00,0.6904028765544914,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-31 09:15:00,-0.40742612364337205,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-06-01 00:00:00,0.6778751760109474,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-06-01 09:15:00,-0.4036476032315448,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-06-04 00:00:00,0.6667228239864429,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-06-04 09:15:00,-0.40398016458164865,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-06-05 00:00:00,0.6682195907862054,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-06-05 09:15:00,-0.4051511744725639,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-06-06 00:00:00,0.6946508097674748,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-06-06 09:15:00,-0.4036732078874309,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
