symbol,company_name,index_name,action,announcement_date,effective_date,source_url,reference_reason
ESSELPACK,Essel Propack Ltd.,NIFTY MidSmallcap 400,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
ESSELPACK,Essel Propack Ltd.,NIFTY Smallcap 250,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
FCONSUMER,Future Consumer Ltd.,NIFTY 200,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
FCONSUMER,Future Consumer Ltd.,NIFTY LargeMidcap 250,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
FCONSUMER,Future Consumer Ltd.,NIFTY Midcap 150,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
FCONSUMER,Future Consumer Ltd.,NIFTY Smallcap 250,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
FCONSUMER,Future Consumer Ltd.,NIFTY Smallcap 50,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
FCONSUMER,Future Consumer Ltd.,NIFTY Smallcap 50,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
FDC,FDC Ltd.,NIFTY Smallcap 50,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
FELIX,Felix Industries Ltd.,NIFTY SME EMERGE,included,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
GATI,Gati Ltd.,NIFTY Smallcap 50,excluded,2018-02-21,"April 02, 2018",https://www.niftyindices.com/Press_Release/ind_prs21022018.pdf,HISTORICAL_INDEX_EVENT_SYMBOL_ABSENT_FROM_LOCAL_PRICE_DIRECTORY
